username,content,time
伍久sk,"                    8u们锐评一下<br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=5fafd6d6e1efce1bea2bc8c29f51f3e8/057bca95a4c27d1e1d5baee45dd5ad6eddc43853.jpg?tbpicau=2024-08-15-05_cfef12fdd4d6b7f4a47af404e127ed74"" size=""119595"" changedsize=""true"" width=""560"" height=""1250"" size=""119595""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=8386201a5fd8bc3ec60806c2b28ba6c8/534617aea40f4bfb14ea0b74454f78f0f736189a.jpg?tbpicau=2024-08-15-05_0147011daaa302cad36aae10dfddabc0"" size=""85098"" changedsize=""true"" width=""560"" height=""1253"" size=""85098""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=3c5f6caf2a81800a6ee58906813533d6/00573ef182025aaf4908ebebbdedab64034f1a9a.jpg?tbpicau=2024-08-15-05_ad92e7d3cbefe82eeb115a08b5eef50e"" size=""82497"" changedsize=""true"" width=""560"" height=""1253"" size=""82497""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=a68607ff881b9d168ac79a69c3deb4eb/56d0e9c37d1ed21bdeb4bbc5eb6eddc451da3f53.jpg?tbpicau=2024-08-15-05_a54b129913a0003e29e19f5af840bc1d"" size=""120136"" changedsize=""true"" width=""560"" height=""1250"" size=""120136""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=1c5b3d06bbfaaf5184e381b7bc5494ed/ac5a9f1a0ef41bd57f2e7dd417da81cb39db3d53.jpg?tbpicau=2024-08-15-05_3e6fda3d286a33dddb0a690c2434d81b"" size=""143040"" changedsize=""true"" width=""560"" height=""1250"" size=""143040""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=29ba0f41b5deb48ffb69a1d6c01f3aef/dfb056d4ad6eddc4859a21db7fdbb6fd52663353.jpg?tbpicau=2024-08-15-05_0c7f019e3a460c8d2dd1a32d8838aa88"" size=""120850"" changedsize=""true"" width=""560"" height=""1250"" size=""120850""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=7a1153cef28f8c54e3d3c5270a292dee/ca91e06fddc451da548b99cbf0fd5266d0163253.jpg?tbpicau=2024-08-15-05_dc09d5df9478bb4100ee817d3a9ad13a"" size=""122607"" changedsize=""true"" width=""560"" height=""1250"" size=""122607""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=259e149fca5494ee87220f111df5e0e1/7c2a90c551da81cbef9b16ed1466d01609243153.jpg?tbpicau=2024-08-15-05_1d01e55270d7d23a8cf4c5402a283246"" size=""116224"" changedsize=""true"" width=""560"" height=""1250"" size=""116224""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=4dae500f7c292df597c3ac1d8c315ce2/508f74dab6fd52660956a934ed18972bd4073653.jpg?tbpicau=2024-08-15-05_64e9ccf15c206e36d61d08706f5236d5"" size=""129482"" changedsize=""true"" width=""560"" height=""1250"" size=""129482"">",2024-07-30 02:08
伍久sk,"                    <img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=82722754adf81a4c2632ecc1e72a6029/4c52b0fbaf51f3de3ace2c44d2eef01f3a29795c.jpg?tbpicau=2024-08-15-05_2f410e4fb5d3bb79ff4e58c3b11032e3"" size=""158248"" changedsize=""true"" width=""560"" height=""1250"" size=""158248""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=c34e79e9912a60595210e1121834342d/65cbc15594eef01fa8688de5a6fe9925bc317d5c.jpg?tbpicau=2024-08-15-05_9a75c484c521eaa43b8bc62eff0de1d8"" size=""146038"" changedsize=""true"" width=""560"" height=""1250"" size=""146038""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=f518853d922a283443a636036bb5c92e/215b77282df5e0fe0c641c211a6034a85edf725c.jpg?tbpicau=2024-08-15-05_eecf60a8aad9b6904ae08bf838cf6f95"" size=""140415"" changedsize=""true"" width=""560"" height=""1250"" size=""140415""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=997afba58fea15ce41eee00186003a25/6d75116134a85edf17f06b030f540923dd54755c.jpg?tbpicau=2024-08-15-05_1634e7f3fab905b453ee76a7e999b8af"" size=""163774"" changedsize=""true"" width=""560"" height=""1250"" size=""163774""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=55abb5de70d3d539c13d0fcb0a87e927/e5ec13de8db1cb13d515a9339b54564e92584b5c.jpg?tbpicau=2024-08-15-05_a5aa48c21e99bc6ea1f4ffe74683dfc0"" size=""157622"" changedsize=""true"" width=""560"" height=""1250"" size=""157622""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=98c64940732ac65c6705667bcbf2b21d/0c101b4f9258d109119f3c929758ccbf6c814d5c.jpg?tbpicau=2024-08-15-05_d1001b66a96034de69a68be33d85bab3"" size=""144986"" changedsize=""true"" width=""560"" height=""1250"" size=""144986""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=66c1c5284ad79123e0e0947c9d345917/c89cf13fb13533fa2eca060eeed3fd1f41345b5c.jpg?tbpicau=2024-08-15-05_e128991f1c5a19c47c6c03f4aadf2925"" size=""137309"" changedsize=""true"" width=""560"" height=""1250"" size=""137309""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=06f670b24af431adbcd243317b36ac0f/9070da0b304e251f218b71d8e186c9177f3e535c.jpg?tbpicau=2024-08-15-05_3acd5e201942fb92d665fe2a5803c5ac"" size=""140029"" changedsize=""true"" width=""560"" height=""1250"" size=""140029""><br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=13b3aac124d9f2d3201124e799ec8a53/b47c41d6912397ddc9030d241f82b2b7d0a2875a.jpg?tbpicau=2024-08-15-05_9d00192889d4e3b0b20e049a278bd6e1"" size=""143048"" changedsize=""true"" width=""560"" height=""1250"" size=""143048"">",2024-07-30 02:09
灵庙骑士头盔,                    vivo50叫沪✌️，不v哪凉快哪呆着去,2024-07-30 03:45
陶巴马同之神,"                    v我500<img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon3.png"" >",2024-07-30 04:44
不爱喝百事，,"                    <img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=f3978e3eff389b5038ffe05ab535e5f1/a3cf0a11b912c8fc068862edba039245d6882159.jpg?tbpicau=2024-08-15-05_e7e6920122adf7c9beb06df141ba6ffb"" size=""26508"" changedsize=""true"" width=""560"" height=""165"" size=""26508"">",2024-07-30 08:35
自个玩去吧,"                    老实说，说什么什么无所谓的我最看不惯了，又不是只有你一个人有钱，读书是为了让你提升学历，增长见识，每天抱着家里那点资产就对自己哄骗说“我无所谓的”我觉得这就是对自己不负责，你就应该说我就算谈恋爱也可以保证自己的学业成绩，不要跟个小屁孩一样天天就说自己家里有钱就天下无敌了似的<img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon8.png"" ><img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon8.png"" >",2024-07-30 08:52
吐司鱼喵,                    高一真看不出来，高二才能看出行不行,2024-07-30 09:49
类人之光,"                    喵喵<br><img class=""BDE_Image"" src=""http://tiebapic.baidu.com/forum/w%3D580/sign=f4b554e9912a60595210e1121835342d/65cbc15594eef01f9f93a0e5a6fe9925bd317dd5.jpg?tbpicau=2024-08-15-05_71afcfdff20b332a5da43f0bb719f3c4"" size=""199669"" changedsize=""true"" width=""560"" height=""560"" pic_type=""2"" meme_id=""300923000064"" size=""199669"">",2024-07-30 09:57
"<img src=""//tb1.bdstatic.com/tb/cms/nickemoji/1-11.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/>瑜念君<img src=""//tb1.bdstatic.com/tb/cms/nickemoji/1-12.png"" class=""nicknameEmoji"" style=""width:13px;height:13px""/>",                    富哥有我评价的份？,2024-07-30 09:59
贴吧用户_aJSRERb,"                    <img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon1.png"" ><img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon1.png"" ><img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon1.png"" >",2024-07-30 10:19
